Topic,ID,Start Time,File Size,Total Views,Total Downloads,Last Accessed,
DHARMAIS-Prof.EKO Meeting,895 0877 4638,"Dec 15, 2021 15:53:07",1.71 GB(5 Files),0,0,
HL7 MEETING,814 9125 1269,"Dec 15, 2021 08:48:10",464 MB(7 Files),0,0,
KIC MEETING,889 4027 5050,"Dec 14, 2021 19:10:51",672 MB(20 Files),0,0,
My Meeting,883 1463 6610,"Dec 14, 2021 15:47:55",531 MB(4 Files),0,0,
KIC IINTERVIEW,846 1106 3057,"Dec 14, 2021 11:51:15",498 MB(6 Files),0,0,
HL7 Meeting,837 2830 5261,"Dec 14, 2021 08:52:18",1.36 GB(7 Files),7,0,"Dec 14, 2021 15:56:12"
Zoom w/ ASHA IVF,825 4706 2328,"Dec 13, 2021 19:55:41",258 KB(2 Files),0,0,
My Meeting,857 1924 9680,"Dec 13, 2021 15:53:53",1.17 GB(7 Files),0,0,
Interview Final,838 0658 9631,"Dec 11, 2021 18:50:50",4 MB(2 Files),1,0,"Dec 11, 2021 21:17:34"
KIC INTERVIEW,878 9552 2959,"Dec 10, 2021 18:57:10",191 MB(6 Files),2,0,"Dec 11, 2021 21:48:41"
My Meeting,847 3291 8124,"Dec 08, 2021 15:54:01",664 MB(8 Files),0,0,
Grha Waron & IVF Meeting,823 4465 4887,"Dec 08, 2021 07:39:19",1.8 GB(8 Files),0,0,
My Meeting,864 0658 0272,"Dec 07, 2021 15:51:47",3.6 GB(7 Files),0,0,
Riview Rencana Kerja Minggu_49 dan Laporan Kerja Harian,825 8649 0502,"Dec 06, 2021 15:57:02",963 MB(5 Files),0,0,
"Talkshow & Workshop"" Hospital HVAC System During Endemic Covid 19""",871 2953 9064,"Dec 04, 2021 07:01:45",5.1 GB(8 Files),54,8,"Dec 09, 2021 21:06:53"
lpo,879 0824 4860,"Dec 03, 2021 23:55:45",7 MB(2 Files),0,0,
GR 3 Desember 2021,863 5806 2067,"Dec 03, 2021 20:13:11",1.95 GB(4 Files),0,0,
GR 3 Desember 2021,863 5806 2067,"Dec 03, 2021 20:12:49",78 KB(2 Files),0,0,
GR 3 Desember 2021,863 5806 2067,"Dec 03, 2021 15:03:05",1 GB(3 Files),0,0,
RANDOMIZER MEETING,890 0601 2581,"Dec 03, 2021 09:39:11",134 MB(6 Files),0,0,
Zoom Koordinasi KIC-DAIKIN-ORVA,816 9286 7120,"Dec 03, 2021 07:55:46",1.27 GB(6 Files),9,0,"Dec 03, 2021 15:08:38"
Mari Berkarya,858 9420 1294,"Dec 02, 2021 21:49:38",1 MB(4 Files),0,0,
Zoom w/ ASHA IVF terkait kontrak,824 8459 8671,"Dec 02, 2021 19:25:24",1.67 GB(7 Files),0,0,
My Meeting,879 6419 6787,"Dec 02, 2021 15:11:47","1,005 MB"(5 Files),0,0,
Diskusi Persiapan IVF,829 3729 2651,"Dec 02, 2021 15:11:35",0 B,0,0,
Persiapan Meeting MEP,861 0698 8728,"Dec 02, 2021 13:16:29",183 MB(4 Files),0,0,
IVF MEETING,896 8553 7007,"Dec 01, 2021 19:50:20",451 MB(6 Files),0,0,
MY MEETING,827 0220 9293,"Dec 01, 2021 16:12:18",544 MB(6 Files),0,0,
Diskusi Integrasi Hardware dengan Smart Hospital,872 2616 5390,"Dec 01, 2021 07:27:27",1.17 GB(5 Files),2,1,"Dec 01, 2021 11:27:39"
Diskusi Integrasi Hardware dengan Smart Hospital,872 2616 5390,"Dec 01, 2021 07:23:52",480 KB(2 Files),0,0,
Meeting,883 1141 6255,"Nov 30, 2021 19:13:56",288 MB(7 Files),0,0,
My Meeting,833 2886 2748,"Nov 30, 2021 15:55:40",688 MB(7 Files),0,0,
IVF MEETING,881 5059 8145,"Nov 29, 2021 19:51:42",738 MB(6 Files),0,0,
My Meeting,872 2897 6509,"Nov 29, 2021 15:41:18",930 MB(7 Files),0,0,
My Meeting,854 5801 0001,"Nov 29, 2021 14:28:50",5 MB(2 Files),0,0,
